itemsets,count,support
"frozenset({'Gambling', 'Education', 'Savings', 'Tax', 'Groceries'})",107.0,0.0000012178
"frozenset({'Clothing', 'Gambling', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",32.0,0.0000003642
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",1926.0,0.0000219208
"frozenset({'Education', 'Fines', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",9.0,0.0000001024
"frozenset({'Education', 'Fines', 'Clothing', 'Bills and Utilities'})",14.0,0.0000001593
"frozenset({'Fines', 'Clothing', 'Gambling', 'Bills and Utilities'})",14.0,0.0000001593
"frozenset({'Education', 'Fines', 'Gambling', 'Bills and Utilities'})",7.0,0.0000000797
"frozenset({'Education', 'Fines', 'Health', 'Bills and Utilities'})",26.0,0.0000002959
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",2212.0,0.0000251759
"frozenset({'Fines', 'Clothing', 'Gambling', 'Education'})",8.0,0.0000000911
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel'})",258.0,0.0000029364
"frozenset({'Fines', 'Clothing', 'Education', 'Health'})",13.0,0.0000001480
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Entertainment', 'Groceries', 'Motor/Travel'})",1101.0,0.0000125311
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries'})",388.0,0.0000044160
"frozenset({'Groceries', 'Fines', 'Clothing', 'Gambling'})",53.0,0.0000006032
"frozenset({'Motor/Travel', 'Fines', 'Clothing', 'Gambling'})",38.0,0.0000004325
"frozenset({'Entertainment', 'Fines', 'Gambling', 'Education'})",34.0,0.0000003870
"frozenset({'Fines', 'Groceries', 'Gambling', 'Education'})",19.0,0.0000002162
"frozenset({'Tax', 'Housing', 'Gambling', 'Education'})",314.0,0.0000035738
"frozenset({'Entertainment', 'Fines', 'Health', 'Gambling'})",113.0,0.0000012861
"frozenset({'Motor/Travel', 'Entertainment', 'Fines', 'Gambling'})",317.0,0.0000036079
"frozenset({'Tax', 'Fines', 'Savings'})",45.0,0.0000005122
"frozenset({'Tax', 'Entertainment', 'Fines', 'Savings'})",36.0,0.0000004097
"frozenset({'Tax', 'Housing', 'Fines'})",92.0,0.0000010471
"frozenset({'Tax', 'Fines', 'Gambling'})",59.0,0.0000006715
"frozenset({'Gambling', 'Education', 'Health', 'Entertainment', 'Groceries', 'Tax'})",207.0,0.0000023560
"frozenset({'Gambling', 'Education', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",79.0,0.0000008991
"frozenset({'Education', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",58.0,0.0000006601
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries'})",22.0,0.0000002504
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",41.0,0.0000004666
"frozenset({'Clothing', 'Bills and Utilities', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",12.0,0.0000001366
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",31.0,0.0000003528
"frozenset({'Gambling', 'Fines', 'Health', 'Entertainment', 'Groceries'})",34.0,0.0000003870
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",20.0,0.0000002276
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",42.0,0.0000004780
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",119.0,0.0000013544
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Groceries'})",130.0,0.0000014796
"frozenset({'Clothing', 'Gambling', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel'})",31.0,0.0000003528
"frozenset({'Clothing', 'Gambling', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",26.0,0.0000002959
"frozenset({'Gambling', 'Education', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",25.0,0.0000002845
"frozenset({'Gambling', 'Education', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",46.0,0.0000005236
"frozenset({'Fines', 'Gambling', 'Education'})",59.0,0.0000006715
"frozenset({'Housing', 'Fines', 'Savings'})",23.0,0.0000002618
"frozenset({'Motor/Travel', 'Fines', 'Gambling', 'Savings'})",14.0,0.0000001593
"frozenset({'Fines', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",9.0,0.0000001024
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Gambling'})",20.0,0.0000002276
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",8.0,0.0000000911
"frozenset({'Motor/Travel', 'Health', 'Education'})",61530.0,0.0007003056
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Groceries'})",3.0,0.0000000341
"frozenset({'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",3.0,0.0000000341
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Tax', 'Housing'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Health'})",1698077.0,0.0193267166
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Motor/Travel', 'Housing', 'Tax'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Motor/Travel', 'Housing', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Fines', 'Health', 'Savings', 'Entertainment', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Groceries', 'Gambling', 'Tax'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Entertainment', 'Health'})",1171406.0,0.0133323941
"frozenset({'Housing', 'Fines', 'Clothing', 'Education'})",5.0,0.0000000569
"frozenset({'Clothing', 'Education', 'Fines', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Housing'})",1.0,0.0000000114
"frozenset({'Motor/Travel', 'Entertainment', 'Groceries'})",5801228.0,0.0660268584
"frozenset({'Clothing', 'Fines', 'Health', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Entertainment', 'Health', 'Groceries'})",1825050.0,0.0207718638
"frozenset({'Education', 'Fines', 'Health', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Tax', 'Groceries'})",3.0,0.0000000341
"frozenset({'Fines', 'Health', 'Savings', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Groceries', 'Education'})",293564.0,0.0033412079
frozenset({'Health'}),7214011.0,0.0821064925
"frozenset({'Clothing', 'Fines', 'Health', 'Savings', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Groceries', 'Health', 'Gambling'})",117047.0,0.0013321741
"frozenset({'Motor/Travel', 'Health', 'Gambling'})",75747.0,0.0008621169
"frozenset({'Gambling', 'Fines', 'Health', 'Savings', 'Entertainment', 'Groceries'})",1.0,0.0000000114
"frozenset({'Bills and Utilities', 'Fines', 'Health', 'Motor/Travel', 'Gambling'})",3.0,0.0000000341
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing'})",28.0,0.0000003187
"frozenset({'Entertainment', 'Groceries', 'Education'})",899548.0,0.0102382338
"frozenset({'Entertainment', 'Health', 'Education'})",187380.0,0.0021326713
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Tax'})",22.0,0.0000002504
"frozenset({'Motor/Travel', 'Entertainment', 'Education'})",575318.0,0.0065479999
"frozenset({'Clothing', 'Fines', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Motor/Travel', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing', 'Groceries'})",9.0,0.0000001024
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Tax', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",7.0,0.0000000797
"frozenset({'Clothing', 'Fines', 'Health', 'Motor/Travel', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Tax'})",1.0,0.0000000114
"frozenset({'Health', 'Groceries', 'Education'})",96184.0,0.0010947212
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Entertainment', 'Groceries', 'Gambling'})",1043458.0,0.0118761500
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Motor/Travel', 'Gambling', 'Education'})",32794.0,0.0003732459
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Health', 'Gambling', 'Education'})",11271.0,0.0001282812
"frozenset({'Groceries', 'Gambling', 'Education'})",50727.0,0.0005773509
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Health', 'Savings', 'Entertainment', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Entertainment'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing'})",7.0,0.0000000797
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Entertainment', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Gambling', 'Tax'})",2.0,0.0000000228
"frozenset({'Entertainment', 'Gambling', 'Education'})",99294.0,0.0011301178
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing'})",6.0,0.0000000683
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Motor/Travel', 'Tax'})",5.0,0.0000000569
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Housing', 'Groceries'})",3.0,0.0000000341
"frozenset({'Entertainment', 'Health', 'Gambling'})",220963.0,0.0025148973
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Savings'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Savings', 'Entertainment'})",1.0,0.0000000114
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Gambling', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Tax'})",4.0,0.0000000455
"frozenset({'Education', 'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Tax'})",8.0,0.0000000911
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Entertainment', 'Gambling', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Motor/Travel', 'Gambling'})",4.0,0.0000000455
"frozenset({'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Motor/Travel', 'Groceries', 'Gambling'})",355843.0,0.0040500383
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Fines', 'Health', 'Savings', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",9.0,0.0000001024
"frozenset({'Fines', 'Savings', 'Motor/Travel', 'Housing', 'Tax'})",1.0,0.0000000114
"frozenset({'Fines', 'Savings', 'Entertainment', 'Housing', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",11.0,0.0000001252
"frozenset({'Motor/Travel', 'Groceries'})",8390830.0,0.0955004948
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Motor/Travel', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",5.0,0.0000000569
"frozenset({'Clothing', 'Education', 'Health', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Fines', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",9.0,0.0000001024
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Fines', 'Motor/Travel', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Tax', 'Housing', 'Groceries'})",6.0,0.0000000683
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Entertainment', 'Groceries', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Fines', 'Gambling', 'Tax'})",9.0,0.0000001024
"frozenset({'Clothing', 'Health', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",11.0,0.0000001252
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Motor/Travel', 'Housing', 'Gambling', 'Tax'})",1.0,0.0000000114
frozenset({'Groceries'}),35821790.0,0.4077068264
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Groceries'})",2.0,0.0000000228
"frozenset({'Education', 'Groceries', 'Gambling', 'Bills and Utilities'})",5994.0,0.0000682209
"frozenset({'Fines', 'Health', 'Tax', 'Housing', 'Groceries'})",4.0,0.0000000455
"frozenset({'Fines', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Health', 'Savings', 'Motor/Travel', 'Gambling', 'Tax'})",7.0,0.0000000797
"frozenset({'Clothing', 'Education', 'Fines', 'Motor/Travel', 'Gambling'})",3.0,0.0000000341
"frozenset({'Motor/Travel', 'Education', 'Entertainment', 'Bills and Utilities'})",62396.0,0.0007101620
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",7.0,0.0000000797
"frozenset({'Entertainment', 'Education', 'Groceries', 'Bills and Utilities'})",98594.0,0.0011221507
"frozenset({'Entertainment', 'Education', 'Gambling', 'Bills and Utilities'})",11572.0,0.0001317071
"frozenset({'Clothing', 'Gambling', 'Health', 'Savings', 'Motor/Travel', 'Groceries', 'Tax'})",4.0,0.0000000455
"frozenset({'Clothing', 'Gambling', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",4.0,0.0000000455
"frozenset({'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",3.0,0.0000000341
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Entertainment', 'Housing', 'Gambling', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Entertainment', 'Education', 'Health', 'Bills and Utilities'})",23040.0,0.0002622305
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Savings', 'Motor/Travel', 'Housing', 'Groceries'})",2.0,0.0000000228
"frozenset({'Gambling', 'Fines', 'Motor/Travel', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Gambling', 'Fines', 'Entertainment', 'Groceries', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Housing', 'Fines', 'Gambling', 'Education'})",2.0,0.0000000228
"frozenset({'Clothing', 'Fines', 'Entertainment', 'Gambling', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Fines', 'Motor/Travel', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Gambling', 'Education', 'Bills and Utilities', 'Health', 'Savings', 'Motor/Travel', 'Groceries'})",4.0,0.0000000455
"frozenset({'Clothing', 'Fines', 'Entertainment', 'Groceries', 'Gambling', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Fines', 'Health'})",2.0,0.0000000228
"frozenset({'Motor/Travel', 'Health', 'Groceries'})",624486.0,0.0071076070
"frozenset({'Gambling', 'Fines', 'Health', 'Motor/Travel', 'Groceries'})",9.0,0.0000001024
"frozenset({'Clothing', 'Education', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment'})",2.0,0.0000000228
"frozenset({'Gambling', 'Fines', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",7.0,0.0000000797
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Tax'})",1.0,0.0000000114
"frozenset({'Fines', 'Health', 'Gambling', 'Savings'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Health', 'Motor/Travel', 'Groceries'})",2.0,0.0000000228
"frozenset({'Gambling', 'Education', 'Fines', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Entertainment', 'Housing', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Fines', 'Motor/Travel', 'Gambling', 'Tax'})",2.0,0.0000000228
"frozenset({'Health', 'Groceries'})",2644919.0,0.0301032286
"frozenset({'Clothing', 'Gambling', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Tax'})",3.0,0.0000000341
"frozenset({'Housing', 'Fines', 'Gambling', 'Bills and Utilities'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Motor/Travel'})",7.0,0.0000000797
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Housing', 'Gambling'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Fines', 'Health', 'Savings', 'Motor/Travel'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Groceries'})",3.0,0.0000000341
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Motor/Travel'})",6.0,0.0000000683
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Motor/Travel', 'Groceries'})",4.0,0.0000000455
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Health', 'Entertainment', 'Groceries', 'Motor/Travel'})",3.0,0.0000000341
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Gambling'})",4.0,0.0000000455
"frozenset({'Clothing', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Gambling', 'Tax'})",4.0,0.0000000455
"frozenset({'Gambling', 'Education', 'Fines', 'Entertainment', 'Housing', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Tax', 'Groceries'})",2.0,0.0000000228
"frozenset({'Clothing', 'Gambling', 'Bills and Utilities', 'Health', 'Savings', 'Entertainment', 'Groceries', 'Tax'})",2.0,0.0000000228
"frozenset({'Bills and Utilities', 'Fines', 'Savings', 'Motor/Travel', 'Tax'})",2.0,0.0000000228
"frozenset({'Gambling', 'Fines', 'Health', 'Savings', 'Groceries'})",2.0,0.0000000228
"frozenset({'Education', 'Bills and Utilities', 'Fines', 'Savings', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Fines', 'Health', 'Savings', 'Motor/Travel', 'Groceries'})",6.0,0.0000000683
"frozenset({'Housing', 'Fines', 'Clothing', 'Gambling'})",3.0,0.0000000341
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Savings', 'Entertainment'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Savings'})",1.0,0.0000000114
"frozenset({'Clothing', 'Fines', 'Savings', 'Entertainment', 'Gambling'})",2.0,0.0000000228
"frozenset({'Groceries', 'Gambling', 'Bills and Utilities'})",138428.0,0.0015755226
"frozenset({'Clothing', 'Fines', 'Savings', 'Motor/Travel', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Savings', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Savings', 'Motor/Travel', 'Gambling'})",2.0,0.0000000228
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Savings', 'Groceries'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Entertainment', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Groceries', 'Gambling'})",1513975.0,0.0172313539
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Motor/Travel', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Fines', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Education', 'Fines', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Entertainment', 'Groceries'})",24745470.0,0.2816413429
"frozenset({'Entertainment', 'Health'})",4974994.0,0.0566230502
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Entertainment', 'Gambling', 'Motor/Travel'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Savings', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Bills and Utilities', 'Fines', 'Savings', 'Entertainment', 'Gambling'})",1.0,0.0000000114
"frozenset({'Health', 'Gambling'})",320380.0,0.0036464150
"frozenset({'Clothing', 'Education', 'Fines', 'Savings', 'Gambling'})",1.0,0.0000000114
"frozenset({'Clothing', 'Education', 'Fines', 'Health', 'Savings', 'Entertainment', 'Groceries'})",1.0,0.0000000114
"frozenset({'Entertainment', 'Bills and Utilities'})",5794740.0,0.0659530151
"frozenset({'Gambling', 'Education', 'Savings', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Fines', 'Health', 'Motor/Travel', 'Housing', 'Groceries', 'Tax'})",1.0,0.0000000114
"frozenset({'Fines', 'Health', 'Entertainment', 'Housing', 'Groceries', 'Motor/Travel', 'Tax'})",1.0,0.0000000114
"frozenset({'Motor/Travel', 'Bills and Utilities'})",1997923.0,0.0227394233
"frozenset({'Health', 'Bills and Utilities'})",692539.0,0.0078821543
"frozenset({'Bills and Utilities', 'Fines', 'Health', 'Savings', 'Gambling'})",1.0,0.0000000114
"frozenset({'Bills and Utilities', 'Fines', 'Entertainment', 'Gambling', 'Tax'})",3.0,0.0000000341
"frozenset({'Gambling', 'Education', 'Fines', 'Motor/Travel', 'Groceries'})",8.0,0.0000000911
"frozenset({'Fines', 'Savings', 'Motor/Travel', 'Housing', 'Groceries'})",1.0,0.0000000114
